uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"c3c9cc1b-5967-4769-b029-853a92c89a19","GRSM_041.mosquitoPoint.mos","D07","GRSM","GRSM_041","2018-08-08T22:14Z","2018-08-09T13:01Z","2018-09-05","GRSM_041.20180809.0901.S.01",,,,,,"Y",3,"AEDHEN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"hendersoni",,"Aedes hendersoni","Cockerell","species","N",,"F","MOS.D07.000227","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International"
"25fd5868-da7b-4a6d-bbdc-eb631c2bb34a","GRSM_041.mosquitoPoint.mos","D07","GRSM","GRSM_041","2018-08-09T13:03Z","2018-08-09T22:36Z","2018-09-05","GRSM_041.20180809.1836.S.01",,,,,,"Y",30,"AEDHEN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"hendersoni",,"Aedes hendersoni","Cockerell","species","N",,"F","MOS.D07.000229|MOS.D07.000228","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
"042502b0-a1aa-464a-ae4f-457530792475","GRSM_040.mosquitoPoint.mos","D07","GRSM","GRSM_040","2018-08-09T13:32Z","2018-08-09T23:01Z","2018-09-05","GRSM_040.20180809.1901.S.01",,,,,,"Y",6,"AEDHEN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"hendersoni",,"Aedes hendersoni","Cockerell","species","N",,"F","MOS.D07.000225|MOS.D07.000226","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"H.M. Ward","Vector Disease Control International"
